x,y
-1266505.897,2855102.946
-1262655.897,2855102.946
-1586055.897,2849692.946
-1582205.897,2849692.946
-1578355.897,2849692.946
-1574505.897,2849692.946
-1570655.897,2849692.946
-1566805.897,2849692.946
-1562955.897,2849692.946
-1559105.897,2849692.946
-1555255.897,2849692.946
-1551405.897,2849692.946
-1547555.897,2849692.946
-1543705.897,2849692.946
-1539855.897,2849692.946
-1536005.897,2849692.946
-1532155.897,2849692.946
-1528305.897,2849692.946
-1524455.897,2849692.946
-1520605.897,2849692.946
-1516755.897,2849692.946
-1512905.897,2849692.946
-1509055.897,2849692.946
-1505205.897,2849692.946
-1501355.897,2849692.946
-1497505.897,2849692.946
-1493655.897,2849692.946
-1489805.897,2849692.946
-1485955.897,2849692.946
-1482105.897,2849692.946
-1478255.897,2849692.946
-1474405.897,2849692.946
-1470555.897,2849692.946
-1466705.897,2849692.946
-1462855.897,2849692.946
-1459005.897,2849692.946
-1455155.897,2849692.946
-1451305.897,2849692.946
-1447455.897,2849692.946
-1443605.897,2849692.946
-1439755.897,2849692.946
-1435905.897,2849692.946
-1432055.897,2849692.946
-1428205.897,2849692.946
-1424355.897,2849692.946
-1420505.897,2849692.946
-1416655.897,2849692.946
-1412805.897,2849692.946
-1408955.897,2849692.946
-1405105.897,2849692.946
-1401255.897,2849692.946
-1397405.897,2849692.946
-1393555.897,2849692.946
-1389705.897,2849692.946
-1385855.897,2849692.946
-1382005.897,2849692.946
-1378155.897,2849692.946
-1374305.897,2849692.946
-1370455.897,2849692.946
-1366605.897,2849692.946
-1362755.897,2849692.946
-1358905.897,2849692.946
-1355055.897,2849692.946
-1351205.897,2849692.946
-1347355.897,2849692.946
-1343505.897,2849692.946
-1339655.897,2849692.946
-1335805.897,2849692.946
-1331955.897,2849692.946
-1328105.897,2849692.946
-1324255.897,2849692.946
-1320405.897,2849692.946
-1316555.897,2849692.946
-1312705.897,2849692.946
-1308855.897,2849692.946
-1305005.897,2849692.946
-1301155.897,2849692.946
-1297305.897,2849692.946
-1293455.897,2849692.946
-1289605.897,2849692.946
-1285755.897,2849692.946
-1281905.897,2849692.946
-1278055.897,2849692.946
-1274205.897,2849692.946
-1270355.897,2849692.946
-1266505.897,2849692.946
-1262655.897,2849692.946
-1586055.897,2844282.946
-1582205.897,2844282.946
-1578355.897,2844282.946
-1574505.897,2844282.946
-1570655.897,2844282.946
-1566805.897,2844282.946
-1562955.897,2844282.946
-1559105.897,2844282.946
-1555255.897,2844282.946
-1551405.897,2844282.946
-1547555.897,2844282.946
-1543705.897,2844282.946
-1539855.897,2844282.946
-1536005.897,2844282.946
-1532155.897,2844282.946
-1528305.897,2844282.946
-1524455.897,2844282.946
-1520605.897,2844282.946
-1516755.897,2844282.946
-1512905.897,2844282.946
-1509055.897,2844282.946
-1505205.897,2844282.946
-1501355.897,2844282.946
-1497505.897,2844282.946
-1493655.897,2844282.946
-1489805.897,2844282.946
-1485955.897,2844282.946
-1482105.897,2844282.946
-1478255.897,2844282.946
-1474405.897,2844282.946
-1470555.897,2844282.946
-1466705.897,2844282.946
-1462855.897,2844282.946
-1459005.897,2844282.946
-1455155.897,2844282.946
-1451305.897,2844282.946
-1447455.897,2844282.946
-1443605.897,2844282.946
-1439755.897,2844282.946
-1435905.897,2844282.946
-1432055.897,2844282.946
-1428205.897,2844282.946
-1424355.897,2844282.946
-1420505.897,2844282.946
-1416655.897,2844282.946
-1412805.897,2844282.946
-1408955.897,2844282.946
-1405105.897,2844282.946
-1401255.897,2844282.946
-1397405.897,2844282.946
-1393555.897,2844282.946
-1389705.897,2844282.946
-1385855.897,2844282.946
-1382005.897,2844282.946
-1378155.897,2844282.946
-1374305.897,2844282.946
-1370455.897,2844282.946
-1366605.897,2844282.946
-1362755.897,2844282.946
-1358905.897,2844282.946
-1355055.897,2844282.946
-1351205.897,2844282.946
-1347355.897,2844282.946
-1343505.897,2844282.946
-1339655.897,2844282.946
-1335805.897,2844282.946
-1331955.897,2844282.946
-1328105.897,2844282.946
-1324255.897,2844282.946
-1320405.897,2844282.946
-1316555.897,2844282.946
-1312705.897,2844282.946
-1308855.897,2844282.946
-1305005.897,2844282.946
-1301155.897,2844282.946
-1297305.897,2844282.946
-1293455.897,2844282.946
-1289605.897,2844282.946
-1285755.897,2844282.946
-1281905.897,2844282.946
-1278055.897,2844282.946
-1274205.897,2844282.946
-1270355.897,2844282.946
-1266505.897,2844282.946
-1262655.897,2844282.946
-1586055.897,2838872.946
-1582205.897,2838872.946
-1578355.897,2838872.946
-1574505.897,2838872.946
-1570655.897,2838872.946
-1566805.897,2838872.946
-1562955.897,2838872.946
-1559105.897,2838872.946
-1555255.897,2838872.946
-1551405.897,2838872.946
-1547555.897,2838872.946
-1543705.897,2838872.946
-1539855.897,2838872.946
-1536005.897,2838872.946
-1532155.897,2838872.946
-1528305.897,2838872.946
-1524455.897,2838872.946
-1520605.897,2838872.946
-1516755.897,2838872.946
-1512905.897,2838872.946
-1509055.897,2838872.946
-1505205.897,2838872.946
-1501355.897,2838872.946
-1497505.897,2838872.946
-1493655.897,2838872.946
-1489805.897,2838872.946
-1485955.897,2838872.946
-1482105.897,2838872.946
-1478255.897,2838872.946
-1474405.897,2838872.946
-1470555.897,2838872.946
-1466705.897,2838872.946
-1462855.897,2838872.946
-1459005.897,2838872.946
-1455155.897,2838872.946
-1451305.897,2838872.946
-1447455.897,2838872.946
-1443605.897,2838872.946
-1439755.897,2838872.946
-1435905.897,2838872.946
-1432055.897,2838872.946
-1428205.897,2838872.946
-1424355.897,2838872.946
-1420505.897,2838872.946
-1416655.897,2838872.946
-1412805.897,2838872.946
-1408955.897,2838872.946
-1405105.897,2838872.946
-1401255.897,2838872.946
-1397405.897,2838872.946
-1393555.897,2838872.946
-1389705.897,2838872.946
-1385855.897,2838872.946
-1382005.897,2838872.946
-1378155.897,2838872.946
-1374305.897,2838872.946
-1370455.897,2838872.946
-1366605.897,2838872.946
-1362755.897,2838872.946
-1358905.897,2838872.946
-1355055.897,2838872.946
-1351205.897,2838872.946
-1347355.897,2838872.946
-1343505.897,2838872.946
-1339655.897,2838872.946
-1335805.897,2838872.946
-1331955.897,2838872.946
-1328105.897,2838872.946
-1324255.897,2838872.946
-1320405.897,2838872.946
-1316555.897,2838872.946
-1312705.897,2838872.946
-1308855.897,2838872.946
-1305005.897,2838872.946
-1301155.897,2838872.946
-1297305.897,2838872.946
-1293455.897,2838872.946
-1289605.897,2838872.946
-1285755.897,2838872.946
-1281905.897,2838872.946
-1278055.897,2838872.946
-1274205.897,2838872.946
-1270355.897,2838872.946
-1266505.897,2838872.946
-1262655.897,2838872.946
-1586055.897,2833462.946
-1582205.897,2833462.946
-1578355.897,2833462.946
-1574505.897,2833462.946
-1570655.897,2833462.946
-1566805.897,2833462.946
-1562955.897,2833462.946
-1559105.897,2833462.946
-1555255.897,2833462.946
-1551405.897,2833462.946
-1547555.897,2833462.946
-1543705.897,2833462.946
-1539855.897,2833462.946
-1536005.897,2833462.946
-1532155.897,2833462.946
-1528305.897,2833462.946
-1524455.897,2833462.946
-1520605.897,2833462.946
-1516755.897,2833462.946
-1512905.897,2833462.946
-1509055.897,2833462.946
-1505205.897,2833462.946
-1501355.897,2833462.946
-1497505.897,2833462.946
-1493655.897,2833462.946
-1489805.897,2833462.946
-1485955.897,2833462.946
-1482105.897,2833462.946
-1478255.897,2833462.946
-1474405.897,2833462.946
-1470555.897,2833462.946
-1466705.897,2833462.946
-1462855.897,2833462.946
-1459005.897,2833462.946
-1455155.897,2833462.946
-1451305.897,2833462.946
-1447455.897,2833462.946
-1443605.897,2833462.946
-1439755.897,2833462.946
-1435905.897,2833462.946
-1432055.897,2833462.946
-1428205.897,2833462.946
-1424355.897,2833462.946
-1420505.897,2833462.946
-1416655.897,2833462.946
-1412805.897,2833462.946
-1408955.897,2833462.946
-1405105.897,2833462.946
-1401255.897,2833462.946
-1397405.897,2833462.946
-1393555.897,2833462.946
-1389705.897,2833462.946
-1385855.897,2833462.946
-1382005.897,2833462.946
-1378155.897,2833462.946
-1374305.897,2833462.946
-1370455.897,2833462.946
-1366605.897,2833462.946
-1362755.897,2833462.946
-1358905.897,2833462.946
-1355055.897,2833462.946
-1351205.897,2833462.946
-1347355.897,2833462.946
-1343505.897,2833462.946
-1339655.897,2833462.946
-1335805.897,2833462.946
-1331955.897,2833462.946
-1328105.897,2833462.946
-1324255.897,2833462.946
-1320405.897,2833462.946
-1316555.897,2833462.946
-1312705.897,2833462.946
-1308855.897,2833462.946
-1305005.897,2833462.946
-1301155.897,2833462.946
-1297305.897,2833462.946
-1293455.897,2833462.946
-1289605.897,2833462.946
-1285755.897,2833462.946
-1281905.897,2833462.946
-1278055.897,2833462.946
-1274205.897,2833462.946
-1270355.897,2833462.946
-1266505.897,2833462.946
-1262655.897,2833462.946
-1586055.897,2828052.946
-1582205.897,2828052.946
-1578355.897,2828052.946
-1574505.897,2828052.946
-1570655.897,2828052.946
-1566805.897,2828052.946
-1562955.897,2828052.946
-1559105.897,2828052.946
-1555255.897,2828052.946
-1551405.897,2828052.946
-1547555.897,2828052.946
-1543705.897,2828052.946
-1539855.897,2828052.946
-1536005.897,2828052.946
-1532155.897,2828052.946
-1528305.897,2828052.946
-1524455.897,2828052.946
-1520605.897,2828052.946
-1516755.897,2828052.946
-1512905.897,2828052.946
-1509055.897,2828052.946
-1505205.897,2828052.946
-1501355.897,2828052.946
-1497505.897,2828052.946
-1493655.897,2828052.946
-1489805.897,2828052.946
-1485955.897,2828052.946
-1482105.897,2828052.946
-1478255.897,2828052.946
-1474405.897,2828052.946
-1470555.897,2828052.946
-1466705.897,2828052.946
-1462855.897,2828052.946
-1459005.897,2828052.946
-1455155.897,2828052.946
-1451305.897,2828052.946
-1447455.897,2828052.946
-1443605.897,2828052.946
-1439755.897,2828052.946
-1435905.897,2828052.946
-1432055.897,2828052.946
-1428205.897,2828052.946
-1424355.897,2828052.946
-1420505.897,2828052.946
-1416655.897,2828052.946
-1412805.897,2828052.946
-1408955.897,2828052.946
-1405105.897,2828052.946
-1401255.897,2828052.946
-1397405.897,2828052.946
-1393555.897,2828052.946
-1389705.897,2828052.946
-1385855.897,2828052.946
-1382005.897,2828052.946
-1378155.897,2828052.946
-1374305.897,2828052.946
-1370455.897,2828052.946
-1366605.897,2828052.946
-1362755.897,2828052.946
-1358905.897,2828052.946
-1355055.897,2828052.946
-1351205.897,2828052.946
-1347355.897,2828052.946
-1343505.897,2828052.946
-1339655.897,2828052.946
-1335805.897,2828052.946
-1331955.897,2828052.946
-1328105.897,2828052.946
-1324255.897,2828052.946
-1320405.897,2828052.946
-1316555.897,2828052.946
-1312705.897,2828052.946
-1308855.897,2828052.946
-1305005.897,2828052.946
-1301155.897,2828052.946
-1297305.897,2828052.946
-1293455.897,2828052.946
-1289605.897,2828052.946
-1285755.897,2828052.946
-1281905.897,2828052.946
-1278055.897,2828052.946
-1274205.897,2828052.946
-1270355.897,2828052.946
-1266505.897,2828052.946
-1262655.897,2828052.946
-1586055.897,2822642.946
-1582205.897,2822642.946
-1578355.897,2822642.946
-1574505.897,2822642.946
-1570655.897,2822642.946
-1566805.897,2822642.946
-1562955.897,2822642.946
-1559105.897,2822642.946
-1555255.897,2822642.946
-1551405.897,2822642.946
-1547555.897,2822642.946
-1543705.897,2822642.946
-1539855.897,2822642.946
-1536005.897,2822642.946
-1532155.897,2822642.946
-1528305.897,2822642.946
-1524455.897,2822642.946
-1520605.897,2822642.946
-1516755.897,2822642.946
-1512905.897,2822642.946
-1509055.897,2822642.946
-1505205.897,2822642.946
-1501355.897,2822642.946
-1497505.897,2822642.946
-1493655.897,2822642.946
-1489805.897,2822642.946
-1485955.897,2822642.946
-1482105.897,2822642.946
-1478255.897,2822642.946
-1474405.897,2822642.946
-1470555.897,2822642.946
-1466705.897,2822642.946
-1462855.897,2822642.946
-1459005.897,2822642.946
-1455155.897,2822642.946
-1451305.897,2822642.946
-1447455.897,2822642.946
-1443605.897,2822642.946
-1439755.897,2822642.946
-1435905.897,2822642.946
-1432055.897,2822642.946
-1428205.897,2822642.946
-1424355.897,2822642.946
-1420505.897,2822642.946
-1416655.897,2822642.946
-1412805.897,2822642.946
-1408955.897,2822642.946
-1405105.897,2822642.946
-1401255.897,2822642.946
-1397405.897,2822642.946
-1393555.897,2822642.946
-1389705.897,2822642.946
-1385855.897,2822642.946
-1382005.897,2822642.946
-1378155.897,2822642.946
-1374305.897,2822642.946
-1370455.897,2822642.946
-1366605.897,2822642.946
-1362755.897,2822642.946
-1358905.897,2822642.946
-1355055.897,2822642.946
-1351205.897,2822642.946
-1347355.897,2822642.946
-1343505.897,2822642.946
-1339655.897,2822642.946
-1335805.897,2822642.946
-1331955.897,2822642.946
-1328105.897,2822642.946
-1324255.897,2822642.946
-1320405.897,2822642.946
-1316555.897,2822642.946
-1312705.897,2822642.946
-1308855.897,2822642.946
-1305005.897,2822642.946
-1301155.897,2822642.946
-1297305.897,2822642.946
-1293455.897,2822642.946
-1289605.897,2822642.946
-1285755.897,2822642.946
-1281905.897,2822642.946
-1278055.897,2822642.946
-1274205.897,2822642.946
-1270355.897,2822642.946
-1266505.897,2822642.946
-1262655.897,2822642.946
-1586055.897,2817232.946
-1582205.897,2817232.946
-1578355.897,2817232.946
-1574505.897,2817232.946
-1570655.897,2817232.946
-1566805.897,2817232.946
-1562955.897,2817232.946
-1559105.897,2817232.946
-1555255.897,2817232.946
-1551405.897,2817232.946
-1547555.897,2817232.946
-1543705.897,2817232.946
-1539855.897,2817232.946
-1536005.897,2817232.946
-1532155.897,2817232.946
-1528305.897,2817232.946
-1524455.897,2817232.946
-1520605.897,2817232.946
-1516755.897,2817232.946
-1512905.897,2817232.946
-1509055.897,2817232.946
-1505205.897,2817232.946
-1501355.897,2817232.946
-1497505.897,2817232.946
-1493655.897,2817232.946
-1489805.897,2817232.946
-1485955.897,2817232.946
-1482105.897,2817232.946
-1478255.897,2817232.946
-1474405.897,2817232.946
-1470555.897,2817232.946
-1466705.897,2817232.946
-1462855.897,2817232.946
-1459005.897,2817232.946
-1455155.897,2817232.946
-1451305.897,2817232.946
-1447455.897,2817232.946
-1443605.897,2817232.946
-1439755.897,2817232.946
-1435905.897,2817232.946
-1432055.897,2817232.946
-1428205.897,2817232.946
-1424355.897,2817232.946
-1420505.897,2817232.946
-1416655.897,2817232.946
-1412805.897,2817232.946
-1408955.897,2817232.946
-1405105.897,2817232.946
-1401255.897,2817232.946
-1397405.897,2817232.946
-1393555.897,2817232.946
-1389705.897,2817232.946
-1385855.897,2817232.946
-1382005.897,2817232.946
-1378155.897,2817232.946
-1374305.897,2817232.946
-1370455.897,2817232.946
-1366605.897,2817232.946
-1362755.897,2817232.946
-1358905.897,2817232.946
-1355055.897,2817232.946
-1351205.897,2817232.946
-1347355.897,2817232.946
-1343505.897,2817232.946
-1339655.897,2817232.946
-1335805.897,2817232.946
-1331955.897,2817232.946
-1328105.897,2817232.946
-1324255.897,2817232.946
-1320405.897,2817232.946
-1316555.897,2817232.946
-1312705.897,2817232.946
-1308855.897,2817232.946
-1305005.897,2817232.946
-1301155.897,2817232.946
-1297305.897,2817232.946
-1293455.897,2817232.946
-1289605.897,2817232.946
-1285755.897,2817232.946
-1281905.897,2817232.946
-1278055.897,2817232.946
-1274205.897,2817232.946
-1270355.897,2817232.946
-1266505.897,2817232.946
-1262655.897,2817232.946
-1586055.897,2811822.946
-1582205.897,2811822.946
-1578355.897,2811822.946
-1574505.897,2811822.946
-1570655.897,2811822.946
-1566805.897,2811822.946
-1562955.897,2811822.946
-1559105.897,2811822.946
-1555255.897,2811822.946
-1551405.897,2811822.946
-1547555.897,2811822.946
-1543705.897,2811822.946
-1539855.897,2811822.946
-1536005.897,2811822.946
-1532155.897,2811822.946
-1528305.897,2811822.946
-1524455.897,2811822.946
-1520605.897,2811822.946
-1516755.897,2811822.946
-1512905.897,2811822.946
-1509055.897,2811822.946
-1505205.897,2811822.946
-1501355.897,2811822.946
-1497505.897,2811822.946
-1493655.897,2811822.946
-1489805.897,2811822.946
-1485955.897,2811822.946
-1482105.897,2811822.946
-1478255.897,2811822.946
-1474405.897,2811822.946
-1470555.897,2811822.946
-1466705.897,2811822.946
-1462855.897,2811822.946
-1459005.897,2811822.946
-1455155.897,2811822.946
-1451305.897,2811822.946
-1447455.897,2811822.946
-1443605.897,2811822.946
-1439755.897,2811822.946
-1435905.897,2811822.946
-1432055.897,2811822.946
-1428205.897,2811822.946
-1424355.897,2811822.946
-1420505.897,2811822.946
-1416655.897,2811822.946
-1412805.897,2811822.946
-1408955.897,2811822.946
-1405105.897,2811822.946
-1401255.897,2811822.946
-1397405.897,2811822.946
-1393555.897,2811822.946
-1389705.897,2811822.946
-1385855.897,2811822.946
-1382005.897,2811822.946
-1378155.897,2811822.946
-1374305.897,2811822.946
-1370455.897,2811822.946
-1366605.897,2811822.946
-1362755.897,2811822.946
-1358905.897,2811822.946
-1355055.897,2811822.946
-1351205.897,2811822.946
-1347355.897,2811822.946
-1343505.897,2811822.946
-1339655.897,2811822.946
-1335805.897,2811822.946
-1331955.897,2811822.946
-1328105.897,2811822.946
-1324255.897,2811822.946
-1320405.897,2811822.946
-1316555.897,2811822.946
-1312705.897,2811822.946
-1308855.897,2811822.946
-1305005.897,2811822.946
-1301155.897,2811822.946
-1297305.897,2811822.946
-1293455.897,2811822.946
-1289605.897,2811822.946
-1285755.897,2811822.946
-1281905.897,2811822.946
-1278055.897,2811822.946
-1274205.897,2811822.946
-1270355.897,2811822.946
-1266505.897,2811822.946
-1262655.897,2811822.946
-1586055.897,2806412.946
-1582205.897,2806412.946
-1578355.897,2806412.946
-1574505.897,2806412.946
-1570655.897,2806412.946
-1566805.897,2806412.946
-1562955.897,2806412.946
-1559105.897,2806412.946
-1555255.897,2806412.946
-1551405.897,2806412.946
-1547555.897,2806412.946
-1543705.897,2806412.946
-1539855.897,2806412.946
-1536005.897,2806412.946
-1532155.897,2806412.946
-1528305.897,2806412.946
-1524455.897,2806412.946
-1520605.897,2806412.946
-1516755.897,2806412.946
-1512905.897,2806412.946
-1509055.897,2806412.946
-1505205.897,2806412.946
-1501355.897,2806412.946
-1497505.897,2806412.946
-1493655.897,2806412.946
-1489805.897,2806412.946
-1485955.897,2806412.946
-1482105.897,2806412.946
-1478255.897,2806412.946
-1474405.897,2806412.946
-1470555.897,2806412.946
-1466705.897,2806412.946
-1462855.897,2806412.946
-1459005.897,2806412.946
-1455155.897,2806412.946
-1451305.897,2806412.946
-1447455.897,2806412.946
-1443605.897,2806412.946
-1439755.897,2806412.946
-1435905.897,2806412.946
-1432055.897,2806412.946
-1428205.897,2806412.946
-1424355.897,2806412.946
-1420505.897,2806412.946
-1416655.897,2806412.946
-1412805.897,2806412.946
-1408955.897,2806412.946
-1405105.897,2806412.946
-1401255.897,2806412.946
-1397405.897,2806412.946
-1393555.897,2806412.946
-1389705.897,2806412.946
-1385855.897,2806412.946
-1382005.897,2806412.946
-1378155.897,2806412.946
-1374305.897,2806412.946
-1370455.897,2806412.946
-1366605.897,2806412.946
-1362755.897,2806412.946
-1358905.897,2806412.946
-1355055.897,2806412.946
-1351205.897,2806412.946
-1347355.897,2806412.946
-1343505.897,2806412.946
-1339655.897,2806412.946
-1335805.897,2806412.946
-1331955.897,2806412.946
-1328105.897,2806412.946
-1324255.897,2806412.946
-1320405.897,2806412.946
-1316555.897,2806412.946
-1312705.897,2806412.946
-1308855.897,2806412.946
-1305005.897,2806412.946
-1301155.897,2806412.946
-1297305.897,2806412.946
-1293455.897,2806412.946
-1289605.897,2806412.946
-1285755.897,2806412.946
-1281905.897,2806412.946
-1278055.897,2806412.946
-1274205.897,2806412.946
-1270355.897,2806412.946
-1266505.897,2806412.946
-1262655.897,2806412.946
-1586055.897,2801002.946
-1582205.897,2801002.946
-1578355.897,2801002.946
-1574505.897,2801002.946
-1570655.897,2801002.946
-1566805.897,2801002.946
-1562955.897,2801002.946
-1559105.897,2801002.946
-1555255.897,2801002.946
-1551405.897,2801002.946
-1547555.897,2801002.946
-1543705.897,2801002.946
-1539855.897,2801002.946
-1536005.897,2801002.946
-1532155.897,2801002.946
-1528305.897,2801002.946
-1524455.897,2801002.946
-1520605.897,2801002.946
-1516755.897,2801002.946
-1512905.897,2801002.946
-1509055.897,2801002.946
-1505205.897,2801002.946
-1501355.897,2801002.946
-1497505.897,2801002.946
-1493655.897,2801002.946
-1489805.897,2801002.946
-1485955.897,2801002.946
-1482105.897,2801002.946
-1478255.897,2801002.946
-1474405.897,2801002.946
-1470555.897,2801002.946
-1466705.897,2801002.946
-1462855.897,2801002.946
-1459005.897,2801002.946
-1455155.897,2801002.946
-1451305.897,2801002.946
-1447455.897,2801002.946
-1443605.897,2801002.946
-1439755.897,2801002.946
-1435905.897,2801002.946
-1432055.897,2801002.946
-1428205.897,2801002.946
-1424355.897,2801002.946
-1420505.897,2801002.946
-1416655.897,2801002.946
-1412805.897,2801002.946
-1408955.897,2801002.946
-1405105.897,2801002.946
-1401255.897,2801002.946
-1397405.897,2801002.946
-1393555.897,2801002.946
-1389705.897,2801002.946
-1385855.897,2801002.946
-1382005.897,2801002.946
-1378155.897,2801002.946
-1374305.897,2801002.946
-1370455.897,2801002.946
-1366605.897,2801002.946
-1362755.897,2801002.946
-1358905.897,2801002.946
-1355055.897,2801002.946
-1351205.897,2801002.946
-1347355.897,2801002.946
-1343505.897,2801002.946
-1339655.897,2801002.946
-1335805.897,2801002.946
-1331955.897,2801002.946
-1328105.897,2801002.946
-1324255.897,2801002.946
-1320405.897,2801002.946
-1316555.897,2801002.946
-1312705.897,2801002.946
-1308855.897,2801002.946
-1305005.897,2801002.946
-1301155.897,2801002.946
-1297305.897,2801002.946
-1293455.897,2801002.946
-1289605.897,2801002.946
-1285755.897,2801002.946
-1281905.897,2801002.946
-1278055.897,2801002.946
-1274205.897,2801002.946
-1270355.897,2801002.946
-1266505.897,2801002.946
-1262655.897,2801002.946
-1586055.897,2795592.946
-1582205.897,2795592.946
-1578355.897,2795592.946
-1574505.897,2795592.946
-1570655.897,2795592.946
-1566805.897,2795592.946
-1562955.897,2795592.946
-1559105.897,2795592.946
-1555255.897,2795592.946
-1551405.897,2795592.946
-1547555.897,2795592.946
-1543705.897,2795592.946
-1539855.897,2795592.946
-1536005.897,2795592.946
-1532155.897,2795592.946
-1528305.897,2795592.946
-1524455.897,2795592.946
-1520605.897,2795592.946
-1516755.897,2795592.946
-1512905.897,2795592.946
-1509055.897,2795592.946
-1505205.897,2795592.946
-1501355.897,2795592.946
-1497505.897,2795592.946
-1493655.897,2795592.946
-1489805.897,2795592.946
-1485955.897,2795592.946
-1482105.897,2795592.946
-1478255.897,2795592.946
-1474405.897,2795592.946
-1470555.897,2795592.946
-1466705.897,2795592.946
-1462855.897,2795592.946
-1459005.897,2795592.946
-1455155.897,2795592.946
-1451305.897,2795592.946
-1447455.897,2795592.946
-1443605.897,2795592.946
-1439755.897,2795592.946
-1435905.897,2795592.946
-1432055.897,2795592.946
-1428205.897,2795592.946
-1424355.897,2795592.946
-1420505.897,2795592.946
-1416655.897,2795592.946
-1412805.897,2795592.946
-1408955.897,2795592.946
-1405105.897,2795592.946
-1401255.897,2795592.946
-1397405.897,2795592.946
-1393555.897,2795592.946
-1389705.897,2795592.946
-1385855.897,2795592.946
-1382005.897,2795592.946
-1378155.897,2795592.946
-1374305.897,2795592.946
-1370455.897,2795592.946
-1366605.897,2795592.946
-1362755.897,2795592.946
-1358905.897,2795592.946
-1355055.897,2795592.946
-1351205.897,2795592.946
-1347355.897,2795592.946
-1343505.897,2795592.946
-1339655.897,2795592.946
-1335805.897,2795592.946
-1331955.897,2795592.946
-1328105.897,2795592.946
-1324255.897,2795592.946
-1320405.897,2795592.946
-1316555.897,2795592.946
-1312705.897,2795592.946
-1308855.897,2795592.946
-1305005.897,2795592.946
-1301155.897,2795592.946
-1297305.897,2795592.946
-1293455.897,2795592.946
-1289605.897,2795592.946
-1285755.897,2795592.946
-1281905.897,2795592.946
-1278055.897,2795592.946
-1274205.897,2795592.946
-1270355.897,2795592.946
-1266505.897,2795592.946
-1262655.897,2795592.946
-1586055.897,2790182.946
-1582205.897,2790182.946
-1578355.897,2790182.946
-1574505.897,2790182.946
-1570655.897,2790182.946
-1566805.897,2790182.946
-1562955.897,2790182.946
-1559105.897,2790182.946
-1555255.897,2790182.946
-1551405.897,2790182.946
-1547555.897,2790182.946
-1543705.897,2790182.946
-1539855.897,2790182.946
-1536005.897,2790182.946
-1532155.897,2790182.946
-1528305.897,2790182.946
-1524455.897,2790182.946
-1520605.897,2790182.946
-1516755.897,2790182.946
-1512905.897,2790182.946
-1509055.897,2790182.946
-1505205.897,2790182.946
-1501355.897,2790182.946
-1497505.897,2790182.946
-1493655.897,2790182.946
-1489805.897,2790182.946
-1485955.897,2790182.946
-1482105.897,2790182.946
-1478255.897,2790182.946
-1474405.897,2790182.946
-1470555.897,2790182.946
-1466705.897,2790182.946
-1462855.897,2790182.946
-1459005.897,2790182.946
-1455155.897,2790182.946
-1451305.897,2790182.946
-1447455.897,2790182.946
-1443605.897,2790182.946
-1439755.897,2790182.946
-1435905.897,2790182.946
-1432055.897,2790182.946
-1428205.897,2790182.946
-1424355.897,2790182.946
-1420505.897,2790182.946
-1416655.897,2790182.946
-1412805.897,2790182.946
-1408955.897,2790182.946
-1405105.897,2790182.946
-1401255.897,2790182.946
-1397405.897,2790182.946
-1393555.897,2790182.946
-1389705.897,2790182.946
-1385855.897,2790182.946
-1382005.897,2790182.946
-1378155.897,2790182.946
-1374305.897,2790182.946
-1370455.897,2790182.946
-1366605.897,2790182.946
-1362755.897,2790182.946
-1358905.897,2790182.946
-1355055.897,2790182.946
-1351205.897,2790182.946
-1347355.897,2790182.946
-1343505.897,2790182.946
-1339655.897,2790182.946
-1335805.897,2790182.946
-1331955.897,2790182.946
-1328105.897,2790182.946
-1324255.897,2790182.946
-1320405.897,2790182.946
-1316555.897,2790182.946
-1312705.897,2790182.946
-1308855.897,2790182.946
-1305005.897,2790182.946
-1301155.897,2790182.946
-1297305.897,2790182.946
-1293455.897,2790182.946
-1289605.897,2790182.946
-1285755.897,2790182.946
-1281905.897,2790182.946
-1278055.897,2790182.946
-1274205.897,2790182.946
-1270355.897,2790182.946
-1266505.897,2790182.946
-1262655.897,2790182.946
-1586055.897,2784772.946
-1582205.897,2784772.946
-1578355.897,2784772.946
-1574505.897,2784772.946
-1570655.897,2784772.946
-1566805.897,2784772.946
-1562955.897,2784772.946
-1559105.897,2784772.946
-1555255.897,2784772.946
-1551405.897,2784772.946
-1547555.897,2784772.946
-1543705.897,2784772.946
-1539855.897,2784772.946
-1536005.897,2784772.946
-1532155.897,2784772.946
-1528305.897,2784772.946
-1524455.897,2784772.946
-1520605.897,2784772.946
-1516755.897,2784772.946
-1512905.897,2784772.946
-1509055.897,2784772.946
-1505205.897,2784772.946
-1501355.897,2784772.946
-1497505.897,2784772.946
-1493655.897,2784772.946
-1489805.897,2784772.946
-1485955.897,2784772.946
-1482105.897,2784772.946
-1478255.897,2784772.946
-1474405.897,2784772.946
-1470555.897,2784772.946
-1466705.897,2784772.946
-1462855.897,2784772.946
-1459005.897,2784772.946
-1455155.897,2784772.946
-1451305.897,2784772.946
-1447455.897,2784772.946
-1443605.897,2784772.946
-1439755.897,2784772.946
-1435905.897,2784772.946
-1432055.897,2784772.946
-1428205.897,2784772.946
-1424355.897,2784772.946
-1420505.897,2784772.946
-1416655.897,2784772.946
-1412805.897,2784772.946
-1408955.897,2784772.946
-1405105.897,2784772.946
-1401255.897,2784772.946
-1397405.897,2784772.946
-1393555.897,2784772.946
-1389705.897,2784772.946
-1385855.897,2784772.946
-1382005.897,2784772.946
